track_num,track_id,track_name,first_artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
1,5bvCNjedRi8BWt1Z9D58ih,Dry Your Tears,Jungle,0.981,0.187,80000,0.257,0.839,5,0.19,-14.245,1,0.0377,78.359,5,0.078,1
2,2dSbH1DD8CEqHqyS1Ey0bd,Dickmatized,Jada Kingdom,0.529,0.817,140337,0.82,0,1,0.11,-3.59,0,0.256,101.206,4,0.622,1
3,239SrBPZi0xs1OQZmedr6q,A Tribe Called Kotori,Oliver Koletzki,0.71,0.627,370453,0.496,0.831,5,0.343,-11.866,0,0.0396,95.0,4,0.0801,1
4,5BAhmGN4WgfCu5l5IeLFO2,Chaque Fois,Stavroz,0.0516,0.927,450232,0.498,0.487,0,0.323,-13.736,1,0.308,118.998,4,0.479,1
5,6o2FQGObDH7kCpYlvJH2ai,Get Low,Butch U,0.323,0.77,221714,0.88,0.293,8,0.111,-3.734,1,0.0883,104.981,4,0.42,1
6,7K1TsEgLCoNxr7tvPRJgrL,Make It Happen,RÜFÜS DU SOL,0.00882,0.595,312120,0.723,0.0515,9,0.575,-7.639,0,0.0275,119.987,4,0.224,1
7,5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,Empire of the Sun,0.257,0.871,198440,0.701,7.52e-06,5,0.0589,-5.594,0,0.0458,126.975,4,0.716,1
8,5w3CtwPT5e0k8zg2LyjvNN,Commitment Issues,Central Cee,0.463,0.8,150664,0.71,0,5,0.339,-6.403,0,0.295,147.171,4,0.795,1
9,6AOkOnjFHab76VW08Q8ZsI,Out Till Late,Micks,0.488,0.804,205845,0.78,0,2,0.374,-5.984,1,0.341,141.973,4,0.885,1
10,4GSyA0YDBON0qD8fvqmPan,Wraith,Chance the Rapper,0.162,0.957,147692,0.528,1.3e-06,7,0.615,-6.025,0,0.128,130.001,4,0.687,1
11,3ZuHoaPp0mQllnIzOyc2k6,Down On My Luck,VIC MENSA,0.391,0.72,209472,0.751,0.00152,11,0.108,-7.69,0,0.194,125.022,4,0.487,1
12,1EHgCTp5LuW5Rlt7IruwCf,What You Want,Blinkie,0.000802,0.694,240057,0.715,0.553,1,0.175,-9.325,1,0.0788,125.008,4,0.509,1
13,2O9O26335YYVckmRgPKY3s,Alive,Empire of the Sun,0.108,0.524,204547,0.882,1.1e-06,5,0.071,-3.038,1,0.0367,119.94,4,0.399,1
14,2o3BIo9vlGrO8HatdEovtn,Ain't Nobody - DJ Vartan & Techcrasher Remix,Lissat & Voltaxx,0.00199,0.832,328781,0.679,0.0194,2,0.626,-6.819,1,0.12,123.007,4,0.865,1
15,2jrWXCyXWmbg65lVjOmoCB,Ain't Nobody - Dim2Play Remix,Lissat & Voltaxx,0.00474,0.825,290732,0.645,0.00101,4,0.0365,-4.739,0,0.119,123.013,4,0.836,1
16,3js8z6tiMljBiT9aLXSIvC,Emotion (Ain't Nobody) - Joey Mccrilley Remix,Maverick Sabre,0.00109,0.78,300559,0.829,0.00449,11,0.726,-7.622,0,0.0451,125.016,4,0.928,1
17,2e1WR9PYEAyuu9k5hNHHI1,Castle In The Snow,The Avener,0.0173,0.664,212893,0.807,2.98e-05,4,0.0893,-4.855,0,0.0463,98.017,4,0.641,1
18,07jreZPe9CuJXfXQeZC79K,Castle in the Snow,Kadebostany,0.0183,0.554,226487,0.47,0,4,0.35,-8.357,0,0.0321,89.98,4,0.253,1
19,1niGC0HGWBVPxhBjYe1Qys,Alive,RÜFÜS DU SOL,0.0121,0.547,334755,0.822,0.164,3,0.164,-5.84,0,0.0318,121.999,4,0.109,1
20,46haIwbQpVUkpAQj9V84Gp,Next to Me,RÜFÜS DU SOL,0.112,0.638,314389,0.609,0.127,7,0.115,-7.332,1,0.0295,117.981,4,0.31,1
21,0VffaI2jwQknRrxpECYHsF,Greyhound,Swedish House Mafia,0.00666,0.723,410097,0.806,0.876,0,0.276,-4.989,1,0.0521,124.976,4,0.539,1
22,0aSPcMOs0ahKPGxsqMqbh2,Midnight Mischief (Tom Misch Remix),Jordan Rakei,0.492,0.506,266087,0.404,0.0268,7,0.115,-7.441,1,0.0355,92.083,4,0.0394,1
23,5kNv1Du0DqYgKkFgXiBRu3,Yours,ZHU,0.298,0.684,257734,0.699,0.557,4,0.0762,-6.086,0,0.0479,122.955,4,0.0938,1
24,0R8P9KfGJCDULmlEoBagcO,Trouble,Coldplay,0.189,0.565,273427,0.546,0.0015,11,0.17,-7.496,0,0.0314,139.757,4,0.195,1
25,0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,0.599,0.577,307880,0.749,0.0115,5,0.183,-7.215,0,0.0279,130.97,4,0.255,1
26,7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,0.748,0.371,227093,0.268,0.0517,1,0.104,-10.506,1,0.0281,102.617,3,0.165,1
27,46HNZY1i7O6jwTA7Slo2PI,My Universe,Coldplay,0.0114,0.573,226198,0.711,0,1,0.328,-6.268,0,0.0406,105.006,4,0.47,1
28,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,0.00239,0.429,266773,0.661,0.000121,11,0.234,-7.227,1,0.0281,173.372,4,0.285,1
29,0pRyOQjr12h9RBEFmhbTQc,Yesterday,Loyle Carner,0.0734,0.428,168654,0.98,0,11,0.127,-2.975,0,0.443,92.035,4,0.423,1
30,30kLmKZIWj7n5s28QFNy4F,Gold Dust - SHY FX Re-Edit,DJ Fresh,0.00716,0.62,183000,0.932,0.000674,0,0.215,-3.44,1,0.0843,177.017,4,0.556,1
31,2qugfmw9Hi27DyIo2gite4,Gold Dust - Radio Edit,DJ Fresh,0.255,0.451,192447,0.948,0,0,0.392,-0.74,1,0.147,176.985,4,0.295,1
32,65r94rVdiMwqXyQFEr3tqT,Resonance,Home,0.0352,0.566,212881,0.74,0.849,8,0.221,-8.614,1,0.063,170.098,5,0.419,1
33,4u07K05HyuQfBSvbumGUo9,#doyalike,dog slayer,0.162,0.603,82352,0.525,0.916,7,0.18,-13.012,1,0.0542,121.447,4,0.81,1
34,28wSGs5ktiBQeeArATV8VX,#doyalike,kazeWIW,0.0959,0.634,183066,0.69,0.564,2,0.469,-8.316,1,0.0704,96.115,4,0.399,1
35,6dVVYhWuI3HWFJYzsSoyb2,Promises,Diplo,0.0179,0.549,201176,0.718,0,0,0.188,-7.758,0,0.0428,122.143,4,0.415,1
36,7CE1FO5THSfI5I2jvt4H0p,One By One (feat. Elderbrook & Andhim),Diplo,0.0142,0.625,180000,0.803,0.627,11,0.109,-8.556,0,0.0392,120.082,4,0.293,1
37,0cO0qoOMg7YyM7BeCN83aN,Your Eyes,Diplo,0.0854,0.701,254730,0.584,0.58,1,0.135,-8.483,1,0.0391,124.019,4,0.439,1
38,5Gvimb9L0bKZZZhVyy4oBN,Humble,Diplo,0.00548,0.831,207097,0.88,0.32,9,0.0988,-2.854,1,0.0932,124.038,4,0.549,1
39,0LnS7aOdOdI1dNKZqdOLz4,Dua Lipa,Jack Harlow,0.00161,0.833,135053,0.652,0.0985,11,0.106,-6.942,1,0.0762,158.022,4,0.405,1
40,6pVZGG1YdoGlTUZQKin047,Ember,WhoMadeWho,0.0643,0.689,265539,0.603,0.477,9,0.118,-8.429,0,0.0288,103.991,4,0.407,1
